degree,in_proportion,out_proportion,normed deg,
1,0.085271318,0.062015504,0.002583979,0.085271318
2,0.100775194,0.051679587,0.005167959,0.100775194
3,0.087855297,0.062015504,0.007751938,0.087855297
4,0.069767442,0.074935401,0.010335917,0.069767442
5,0.028423773,0.046511628,0.012919897,0.028423773
6,0.056847545,0.051679587,0.015503876,0.056847545
7,0.03875969,0.041343669,0.018087855,0.03875969
8,0.033591731,0.036175711,0.020671835,0.033591731
9,0.031007752,0.031007752,0.023255814,0.031007752
10,0.03875969,0.031007752,0.025839793,0.03875969
11,0.020671835,0.023255814,0.028423773,0.020671835
12,0.025839793,0.033591731,0.031007752,0.025839793
13,0.03875969,0.020671835,0.033591731,0.03875969
14,0.018087855,0.031007752,0.036175711,0.018087855
15,0.018087855,0.03875969,0.03875969,0.018087855
16,0.028423773,0.015503876,0.041343669,0.028423773
17,0.020671835,0.025839793,0.043927649,0.020671835
18,0.007751938,0.031007752,0.046511628,0.007751938
19,0.018087855,0.018087855,0.049095607,0.018087855
20,0.010335917,0.028423773,0.051679587,0.010335917
21,0.005167959,0.015503876,0.054263566,0.005167959
22,0.005167959,0.020671835,0.056847545,0.005167959
23,0.002583979,0.010335917,0.059431525,0.002583979
24,0.012919897,0.010335917,0.062015504,0.012919897
25,0,0.015503876,0.064599483,0
26,0.005167959,0.007751938,0.067183463,0.005167959
27,0.002583979,0.010335917,0.069767442,0.002583979
28,0.002583979,0.005167959,0.072351421,0.002583979
29,0.002583979,0.007751938,0.074935401,0.002583979
30,0,0.007751938,0.07751938,0
31,0.005167959,0.005167959,0.080103359,0.005167959
32,0.002583979,0.007751938,0.082687339,0.002583979
33,0.007751938,0.012919897,0.085271318,0.007751938
34,0.005167959,0.007751938,0.087855297,0.005167959
35,0.005167959,0.007751938,0.090439276,0.005167959
36,0.005167959,0,0.093023256,0.005167959
37,0.005167959,0.002583979,0.095607235,0.005167959
38,0,0.002583979,0.098191214,0
39,0.002583979,0,0.100775194,0.002583979
40,0.002583979,0,0.103359173,0.002583979
41,0.010335917,0,0.105943152,0.010335917
42,0,0.005167959,0.108527132,0
43,0.005167959,0.002583979,0.111111111,0.005167959
44,0.007751938,0.007751938,0.11369509,0.007751938
45,0.002583979,0.005167959,0.11627907,0.002583979
46,0,0.002583979,0.118863049,0
48,0.005167959,0,0.124031008,0.005167959
49,0.005167959,0,0.126614987,0.005167959
50,0.010335917,0,0.129198966,0.010335917
54,0.005167959,0,0.139534884,0.005167959
55,0.002583979,0.002583979,0.142118863,0.002583979
56,0.002583979,0,0.144702842,0.002583979
57,0,0.002583979,0.147286822,0
58,0.002583979,0,0.149870801,0.002583979
59,0.002583979,0.002583979,0.15245478,0.002583979
60,0.002583979,0,0.15503876,0.002583979
67,0.002583979,0,0.173126615,0.002583979
70,0.005167959,0,0.180878553,0.005167959
71,0.002583979,0,0.183462532,0.002583979
73,0.002583979,0,0.188630491,0.002583979
82,0.002583979,0,0.211886305,0.002583979
