degree,in_proportion,out_proportion
1,0.020597322,0.039134912
2,0.022657055,0.032955716
3,0.030895984,0.017507724
4,0.038105046,0.03192585
5,0.058702369,0.040164779
6,0.053553038,0.033985582
7,0.054582904,0.039134912
8,0.062821833,0.029866117
9,0.046343975,0.025746653
10,0.033985582,0.021627188
11,0.028836251,0.01338826
12,0.032955716,0.016477858
13,0.029866117,0.01853759
14,0.028836251,0.01853759
15,0.023686921,0.01853759
16,0.027806385,0.019567456
17,0.015447992,0.016477858
18,0.014418126,0.01853759
19,0.010298661,0.023686921
20,0.009268795,0.029866117
21,0.004119464,0.016477858
22,0.009268795,0.022657055
23,0.014418126,0.025746653
24,0.005149331,0.015447992
25,0.007209063,0.022657055
26,0.005149331,0.020597322
27,0.003089598,0.01338826
28,0.008238929,0.01338826
29,0.008238929,0.014418126
30,0.007209063,0.008238929
31,0.006179197,0.004119464
32,0.006179197,0.006179197
33,0.003089598,0.007209063
34,0.007209063,0.008238929
35,0.002059732,0.011328527
36,0.008238929,0.001029866
37,0.002059732,0.009268795
38,0.004119464,0.007209063
39,0.009268795,0.003089598
40,0.008238929,0.001029866
41,0.005149331,0.008238929
42,0.006179197,0.002059732
43,0.010298661,0.007209063
44,0.006179197,0.012358393
45,0.004119464,0.002059732
46,0.006179197,0.009268795
47,0.008238929,0.006179197
48,0.004119464,0.005149331
49,0.002059732,0.004119464
50,0.003089598,0.002059732
51,0.005149331,0.006179197
52,0.003089598,0.005149331
53,0.006179197,0.002059732
54,0.003089598,0.005149331
55,0.003089598,0.007209063
56,0.002059732,0.006179197
57,0.002059732,0.006179197
58,0.003089598,0.005149331
59,0.004119464,0.007209063
60,0.008238929,0.003089598
61,0.003089598,0.004119464
62,0.005149331,0.005149331
63,0.002059732,0.003089598
64,0.004119464,0.003089598
65,0.006179197,0.004119464
66,0.002059732,0.005149331
67,0.004119464,0.002059732
68,0.003089598,0.002059732
69,0.003089598,0
70,0.003089598,0.003089598
71,0.003089598,0.003089598
72,0.001029866,0.001029866
73,0.002059732,0.002059732
74,0.001029866,0.004119464
75,0,0.004119464
76,0.001029866,0
77,0.003089598,0.003089598
78,0.003089598,0.001029866
81,0.001029866,0
82,0.004119464,0
83,0.003089598,0.001029866
84,0,0.002059732
85,0.001029866,0.001029866
86,0.004119464,0
87,0.003089598,0.002059732
88,0.001029866,0.001029866
89,0.002059732,0.003089598
90,0.003089598,0
91,0,0.001029866
92,0.001029866,0
93,0.002059732,0.002059732
95,0.001029866,0
96,0.002059732,0
98,0.001029866,0
101,0.002059732,0
104,0.001029866,0
108,0.001029866,0
109,0.001029866,0
110,0.001029866,0
112,0.001029866,0
113,0.001029866,0
116,0,0.001029866
119,0.001029866,0
121,0,0.001029866
122,0.001029866,0
125,0.001029866,0
126,0.001029866,0
127,0.001029866,0
128,0,0.002059732
129,0.001029866,0.002059732
131,0.001029866,0
134,0.003089598,0
137,0.001029866,0
139,0,0.001029866
140,0.001029866,0
143,0,0.001029866
144,0.001029866,0
148,0.001029866,0
149,0.001029866,0
154,0.001029866,0
156,0.001029866,0
158,0.001029866,0
166,0,0.001029866
167,0,0.002059732
168,0,0.001029866
175,0,0.001029866
181,0,0.001029866
184,0,0.001029866
185,0,0.001029866
