degree,in_proportion,out_proportion,normed degree,
159,0.000411353,0.000411353,0.065405183,0.000411353
161,0,0.000822707,0.06622789,0
163,0,0.000822707,0.067050596,0
164,0.000822707,0,0.06746195,0.000822707
165,0.000822707,0,0.067873303,0.000822707
166,0.000411353,0,0.068284657,0.000411353
168,0.000822707,0.000822707,0.069107363,0.000822707
171,0.000822707,0,0.070341423,0.000822707
173,0.000411353,0.000822707,0.07116413,0.000411353
179,0.000411353,0.000411353,0.07363225,0.000411353
180,0,0.000411353,0.074043603,0
181,0,0.000411353,0.074454957,0
182,0.000411353,0,0.07486631,0.000411353
186,0,0.00123406,0.076511724,0
187,0.000411353,0.000822707,0.076923077,0.000411353
188,0,0.000411353,0.07733443,0
196,0,0.000411353,0.080625257,0
197,0.000411353,0.000411353,0.08103661,0.000411353
198,0.000411353,0,0.081447964,0.000411353
199,0.000411353,0,0.081859317,0.000411353
200,0.000411353,0.000411353,0.082270671,0.000411353
202,0.000411353,0,0.083093377,0.000411353
204,0.000411353,0,0.083916084,0.000411353
208,0.000411353,0.000411353,0.085561497,0.000411353
209,0.000411353,0.000411353,0.085972851,0.000411353
212,0,0.000411353,0.087206911,0
214,0.000411353,0,0.088029617,0.000411353
216,0,0.000411353,0.088852324,0
219,0,0.000411353,0.090086384,0
220,0.000411353,0.000411353,0.090497738,0.000411353
221,0,0.000411353,0.090909091,0
229,0,0.000411353,0.094199918,0
230,0.000411353,0.000411353,0.094611271,0.000411353
232,0,0.000411353,0.095433978,0
238,0,0.000411353,0.097902098,0
240,0,0.000411353,0.098724805,0
246,0,0.000411353,0.101192925,0
254,0,0.000411353,0.104483752,0
262,0,0.000822707,0.107774578,0
263,0.000411353,0,0.108185932,0.000411353
270,0.000411353,0,0.111065405,0.000411353
272,0,0.000411353,0.111888112,0
274,0,0.000411353,0.112710819,0
275,0.000411353,0,0.113122172,0.000411353
276,0.000411353,0,0.113533525,0.000411353
289,0,0.000411353,0.118881119,0
291,0,0.000411353,0.119703826,0
306,0,0.000411353,0.125874126,0
313,0.000411353,0,0.128753599,0.000411353
322,0.000411353,0,0.13245578,0.000411353
325,0.000411353,0,0.13368984,0.000411353
339,0.000411353,0.000411353,0.139448787,0.000411353
348,0,0.000411353,0.143150967,0
350,0,0.000411353,0.143973673,0
395,0,0.000411353,0.162484574,0
397,0.000411353,0,0.163307281,0.000411353
409,0,0.000411353,0.168243521,0
431,0,0.000411353,0.177293295,0
464,0,0.000822707,0.190867956,0
470,0.000411353,0,0.193336076,0.000411353
474,0.000411353,0,0.194981489,0.000411353
523,0,0.000411353,0.215137803,0
525,0.000411353,0,0.21596051,0.000411353
542,0.000411353,0,0.222953517,0.000411353
555,0.000411353,0,0.228301111,0.000411353
