degree,in_proportion,out_proportion
1,0.1175,0.06
2,0.0925,0.0675
3,0.09,0.0875
4,0.05,0.0575
5,0.0625,0.09
6,0.0325,0.075
7,0.0425,0.0525
8,0.07,0.055
9,0.0275,0.05
10,0.0275,0.0425
11,0.035,0.0425
12,0.02,0.015
13,0.02,0.02
14,0.0125,0.01
15,0.025,0.02
16,0.02,0.015
17,0.01,0.0175
18,0.0175,0.015
19,0.0025,0.0125
20,0.0175,0.005
21,0.0075,0.015
22,0.01,0.0075
23,0.01,0.015
24,0.01,0.01
25,0.0025,0.0025
26,0.0125,0.005
27,0.0025,0.0125
28,0.0,0.005
29,0.015,0.0075
30,0.01,0.0025
31,0.0075,0.0025
32,0.01,0.0025
33,0.01,0.0
34,0.0025,0.0025
35,0.0025,0.0025
36,0.0,0.005
37,0.005,0.0
39,0.0075,0.0
41,0.0,0.005
43,0.0025,0.0
44,0.0025,0.0
46,0.0025,0.0
47,0.0025,0.0
48,0.0,0.0025
49,0.0025,0.0
50,0.0025,0.0
52,0.0025,0.005
53,0.0025,0.0
55,0.0,0.0025
57,0.0,0.0025
59,0.0,0.0075
60,0.0,0.005
61,0.0,0.005
63,0.0,0.0025
66,0.0025,0.0025
67,0.0025,0.0025
69,0.0025,0.0025
70,0.0025,0.0
73,0.0025,0.0
74,0.0025,0.0
78,0.0025,0.0
91,0.0,0.0025
95,0.0,0.0025
108,0.0025,0.0
