degree,in_proportion,out_proportion
1,0.011272142,0.038647343
2,0.040257649,0.053140097
3,0.046698873,0.043478261
4,0.096618357,0.049919485
5,0.062801932,0.035426731
6,0.038647343,0.041867955
7,0.020933977,0.014492754
8,0.014492754,0.019323671
9,0.017713366,0.012882448
10,0.019323671,0.017713366
11,0.011272142,0.011272142
12,0.006441224,0.017713366
13,0.009661836,0.009661836
14,0.00805153,0.012882448
15,0.003220612,0.009661836
16,0.004830918,0.003220612
17,0.012882448,0.006441224
18,0.009661836,0.003220612
19,0.01610306,0.006441224
20,0.006441224,0.00805153
21,0.012882448,0.003220612
22,0.012882448,0.006441224
23,0.011272142,0.014492754
24,0.033816425,0.017713366
25,0.024154589,0.011272142
26,0.030595813,0.00805153
27,0.024154589,0.012882448
28,0.01610306,0.00805153
29,0.027375201,0.012882448
30,0.022544283,0.014492754
31,0.01610306,0.019323671
32,0.011272142,0.014492754
33,0.01610306,0.009661836
34,0.017713366,0.012882448
35,0.00805153,0.01610306
36,0.017713366,0.012882448
37,0.014492754,0.017713366
38,0.00805153,0.017713366
39,0.01610306,0.006441224
40,0.00805153,0.019323671
41,0.00805153,0.022544283
42,0.019323671,0.022544283
43,0.001610306,0.009661836
44,0.011272142,0.01610306
45,0.006441224,0.011272142
46,0.006441224,0.022544283
47,0.011272142,0.004830918
48,0.001610306,0.011272142
49,0.001610306,0.01610306
50,0.004830918,0.009661836
51,0.004830918,0.006441224
52,0,0.004830918
53,0,0.004830918
54,0,0.004830918
55,0,0.001610306
56,0,0.006441224
57,0.001610306,0.001610306
58,0,0.004830918
59,0,0.009661836
60,0.001610306,0.004830918
61,0,0.006441224
62,0,0.001610306
65,0,0.004830918
66,0,0.003220612
68,0,0.003220612
69,0.001610306,0.004830918
70,0,0.006441224
71,0,0.003220612
72,0,0.003220612
74,0.001610306,0.003220612
75,0.001610306,0.003220612
76,0.001610306,0.001610306
77,0.001610306,0.003220612
78,0.001610306,0.003220612
79,0,0.003220612
80,0.003220612,0.004830918
81,0,0.003220612
82,0,0.001610306
83,0,0.003220612
84,0.001610306,0.001610306
85,0.001610306,0.003220612
86,0,0.003220612
87,0.003220612,0.001610306
89,0,0.001610306
90,0.001610306,0
91,0.001610306,0.001610306
95,0.001610306,0
96,0.001610306,0
97,0.003220612,0
98,0,0.001610306
100,0.003220612,0
101,0.003220612,0
103,0.001610306,0.003220612
106,0.001610306,0.001610306
107,0.004830918,0.003220612
108,0,0.001610306
109,0.003220612,0.003220612
110,0.001610306,0.001610306
111,0.001610306,0
113,0.004830918,0.001610306
114,0.001610306,0.003220612
115,0.001610306,0.001610306
116,0.001610306,0.001610306
118,0.001610306,0.001610306
119,0.001610306,0
120,0.001610306,0
121,0,0.003220612
124,0.001610306,0.003220612
129,0.001610306,0
130,0.001610306,0
131,0.001610306,0
132,0.003220612,0
134,0.003220612,0
136,0.003220612,0
137,0.001610306,0
140,0.001610306,0
143,0.001610306,0
144,0.001610306,0
146,0.003220612,0
149,0.001610306,0
150,0.001610306,0
155,0.004830918,0
156,0.001610306,0
158,0.001610306,0
208,0.001610306,0
221,0.001610306,0
225,0.001610306,0
