degree,in_proportion,out_proportion
1,0.094293,0.055831
2,0.088089,0.071960
3,0.071960,0.062035
4,0.064516,0.052109
5,0.053350,0.055831
6,0.038462,0.053350
7,0.034739,0.053350
8,0.028536,0.063275
9,0.022333,0.045906
10,0.040943,0.044665
11,0.019851,0.034739
12,0.026055,0.029777
13,0.018610,0.021092
14,0.017370,0.024814
15,0.027295,0.026055
16,0.028536,0.013648
17,0.016129,0.018610
18,0.019851,0.014888
19,0.009926,0.018610
20,0.013648,0.013648
21,0.007444,0.014888
22,0.008685,0.004963
23,0.011166,0.009926
24,0.004963,0.007444
25,0.006203,0.006203
26,0.011166,0.007444
27,0.003722,0.007444
28,0.009926,0.004963
29,0.009926,0.006203
30,0.004963,0.000000
31,0.011166,0.003722
32,0.003722,0.003722
33,0.008685,0.009926
34,0.003722,0.003722
35,0.007444,0.003722
36,0.003722,0.011166
37,0.002481,0.002481
38,0.002481,0.006203
39,0.002481,0.003722
40,0.002481,0.004963
41,0.000000,0.002481
42,0.003722,0.003722
43,0.002481,0.003722
44,0.001241,0.003722
45,0.003722,0.004963
46,0.000000,0.004963
47,0.001241,0.001241
48,0.003722,0.002481
49,0.006203,0.002481
50,0.003722,0.001241
51,0.001241,0.000000
52,0.001241,0.001241
54,0.002481,0.001241
55,0.002481,0.001241
56,0.001241,0.002481
57,0.001241,0.002481
58,0.000000,0.001241
59,0.001241,0.001241
60,0.001241,0.001241
61,0.003722,0.001241
62,0.001241,0.000000
63,0.002481,0.001241
64,0.001241,0.001241
65,0.000000,0.001241
66,0.002481,0.000000
67,0.002481,0.000000
68,0.001241,0.001241
69,0.001241,0.000000
70,0.001241,0.002481
71,0.001241,0.001241
72,0.001241,0.000000
73,0.000000,0.001241
74,0.000000,0.001241
76,0.001241,0.001241
77,0.000000,0.001241
79,0.000000,0.002481
80,0.001241,0.000000
81,0.002481,0.002481
82,0.000000,0.001241
83,0.001241,0.001241
84,0.002481,0.002481
85,0.001241,0.000000
88,0.001241,0.001241
89,0.000000,0.001241
91,0.001241,0.000000
92,0.001241,0.000000
94,0.001241,0.000000
98,0.001241,0.000000
108,0.002481,0.000000
109,0.001241,0.000000
113,0.001241,0.000000
125,0.000000,0.001241
140,0.001241,0.000000
184,0.000000,0.001241
