degree,in_proportion,out_proportion
1,0.036048064,0.033377837
2,0.045393858,0.033377837
3,0.06141522,0.038718291
4,0.046728972,0.044058745
5,0.046728972,0.025367156
6,0.062750334,0.033377837
7,0.042723632,0.032042724
8,0.049399199,0.053404539
9,0.02670227,0.038718291
10,0.03070761,0.034712951
11,0.022696929,0.034712951
12,0.024032043,0.033377837
13,0.014686248,0.02670227
14,0.024032043,0.036048064
15,0.025367156,0.028037383
16,0.020026702,0.032042724
17,0.018691589,0.024032043
18,0.016021362,0.020026702
19,0.018691589,0.014686248
20,0.020026702,0.010680908
21,0.008010681,0.012016021
22,0.017356475,0.016021362
23,0.006675567,0.014686248
24,0.006675567,0.013351135
25,0.016021362,0.012016021
26,0.014686248,0.016021362
27,0.010680908,0.010680908
28,0.009345794,0.018691589
29,0.012016021,0.021361816
30,0.013351135,0.013351135
31,0.010680908,0.013351135
32,0.006675567,0.010680908
33,0.006675567,0.017356475
34,0.006675567,0.014686248
35,0.006675567,0.016021362
36,0.00400534,0.017356475
37,0.008010681,0.008010681
38,0.005340454,0.010680908
39,0.005340454,0.00400534
40,0.00400534,0.002670227
41,0.002670227,0.002670227
42,0,0.010680908
43,0.00400534,0.00400534
44,0.005340454,0.00400534
45,0.006675567,0.00400534
46,0.001335113,0.006675567
47,0.002670227,0.001335113
48,0.008010681,0.002670227
49,0.002670227,0.001335113
50,0.001335113,0.00400534
51,0.001335113,0.001335113
52,0.008010681,0.002670227
53,0.005340454,0.005340454
54,0.00400534,0.001335113
55,0.002670227,0.001335113
56,0.00400534,0
57,0.00400534,0.001335113
58,0.005340454,0.002670227
59,0.002670227,0.001335113
60,0.001335113,0.001335113
61,0.00400534,0.002670227
62,0.001335113,0.00400534
63,0.001335113,0.00400534
64,0.00400534,0.001335113
65,0,0.001335113
66,0.001335113,0.001335113
67,0.001335113,0
68,0.002670227,0
69,0.005340454,0.00400534
70,0.002670227,0.001335113
72,0.002670227,0
73,0.001335113,0
75,0.001335113,0
76,0,0.001335113
77,0.002670227,0
78,0,0.001335113
79,0.001335113,0.001335113
80,0.001335113,0
81,0.001335113,0
82,0.002670227,0
87,0.001335113,0.001335113
89,0.002670227,0
92,0,0.001335113
94,0.001335113,0
95,0.00400534,0
99,0.002670227,0
100,0.001335113,0
103,0.001335113,0
106,0.001335113,0
116,0.001335113,0
132,0,0.001335113
153,0,0.001335113
