degree,in_proportion,out_proportion
1,0.035346,0.038292
2,0.039764,0.043201
3,0.035837,0.044674
4,0.046637,0.057928
5,0.054983,0.065292
6,0.053510,0.049583
7,0.058910,0.048110
8,0.054001,0.048110
9,0.050565,0.042710
10,0.038292,0.045655
11,0.054983,0.041728
12,0.044674,0.048601
13,0.034855,0.038292
14,0.031419,0.028473
15,0.030928,0.025528
16,0.027491,0.021600
17,0.024055,0.020619
18,0.019146,0.021600
19,0.019146,0.015218
20,0.016200,0.020128
21,0.015218,0.014728
22,0.016200,0.014237
23,0.012764,0.009327
24,0.011782,0.010800
25,0.009818,0.009327
26,0.011782,0.010800
27,0.013746,0.011782
28,0.008346,0.006382
29,0.008837,0.007855
30,0.007855,0.004909
31,0.004909,0.007364
32,0.006873,0.005891
33,0.004418,0.003436
34,0.006873,0.003436
35,0.003927,0.002455
36,0.002946,0.004909
37,0.003436,0.003436
38,0.005400,0.002946
39,0.004418,0.002455
40,0.004909,0.002946
41,0.002455,0.002455
42,0.003436,0.001964
43,0.002455,0.005891
44,0.002455,0.001964
45,0.001964,0.001473
46,0.002455,0.003436
47,0.002455,0.000982
48,0.000982,0.000982
49,0.001473,0.002455
50,0.000000,0.003436
51,0.001964,0.002946
52,0.001964,0.001473
53,0.000982,0.000982
54,0.000491,0.002455
55,0.000000,0.000982
57,0.000982,0.002455
58,0.000982,0.004418
60,0.000491,0.001964
61,0.000491,0.002946
62,0.000982,0.000491
63,0.000491,0.000491
64,0.000982,0.000982
65,0.000982,0.000982
66,0.000000,0.002455
67,0.000491,0.000491
68,0.000491,0.000982
69,0.000000,0.000491
70,0.000982,0.000000
71,0.000000,0.001473
72,0.000982,0.000491
77,0.000491,0.000000
78,0.000491,0.000000
79,0.000491,0.000491
81,0.000000,0.000491
83,0.000000,0.000491
85,0.000491,0.000491
86,0.001473,0.000000
88,0.000982,0.000000
89,0.000000,0.000491
90,0.000982,0.000000
91,0.000000,0.000491
92,0.000000,0.000491
96,0.000491,0.000491
99,0.000491,0.000000
103,0.000491,0.000000
105,0.000491,0.000000
118,0.000491,0.000000
273,0.000000,0.000491
282,0.000000,0.000491
