degree,in_proportion,out_proportion,normed degree,
1,0.038120567,0.017287234,0.000443262,0.038120567
2,0.033244681,0.018617021,0.000886525,0.033244681
3,0.028368794,0.019946809,0.001329787,0.028368794
4,0.031028369,0.025265957,0.00177305,0.031028369
5,0.028368794,0.030585106,0.002216312,0.028368794
6,0.02393617,0.026595745,0.002659574,0.02393617
7,0.029698582,0.024379433,0.003102837,0.029698582
8,0.026595745,0.029255319,0.003546099,0.026595745
9,0.031028369,0.030141844,0.003989362,0.031028369
10,0.022606383,0.029698582,0.004432624,0.022606383
11,0.028812057,0.032801418,0.004875887,0.028812057
12,0.022606383,0.026152482,0.005319149,0.022606383
13,0.025265957,0.028368794,0.005762411,0.025265957
14,0.024822695,0.027925532,0.006205674,0.024822695
15,0.023049645,0.032358156,0.006648936,0.023049645
16,0.024822695,0.023492908,0.007092199,0.024822695
17,0.019060284,0.03679078,0.007535461,0.019060284
18,0.022163121,0.028812057,0.007978723,0.022163121
19,0.019503546,0.026152482,0.008421986,0.019503546
20,0.015514184,0.018617021,0.008865248,0.015514184
21,0.017730496,0.015957447,0.009308511,0.017730496
22,0.018617021,0.017287234,0.009751773,0.018617021
23,0.015070922,0.016400709,0.010195035,0.015070922
24,0.01285461,0.018173759,0.010638298,0.01285461
25,0.019946809,0.017730496,0.01108156,0.019946809
26,0.017287234,0.015514184,0.011524823,0.017287234
27,0.010195035,0.012411348,0.011968085,0.010195035
28,0.018173759,0.013297872,0.012411348,0.018173759
29,0.013297872,0.015957447,0.01285461,0.013297872
30,0.009751773,0.013297872,0.013297872,0.009751773
31,0.010195035,0.015514184,0.013741135,0.010195035
32,0.01285461,0.013297872,0.014184397,0.01285461
33,0.011524823,0.009308511,0.01462766,0.011524823
34,0.010638298,0.015514184,0.015070922,0.010638298
35,0.012411348,0.01108156,0.015514184,0.012411348
36,0.008865248,0.011524823,0.015957447,0.008865248
37,0.008865248,0.007978723,0.016400709,0.008865248
38,0.008421986,0.006648936,0.016843972,0.008421986
39,0.008421986,0.010195035,0.017287234,0.008421986
40,0.005762411,0.01108156,0.017730496,0.005762411
41,0.007978723,0.004875887,0.018173759,0.007978723
42,0.007535461,0.007535461,0.018617021,0.007535461
43,0.007092199,0.005762411,0.019060284,0.007092199
44,0.003546099,0.006648936,0.019503546,0.003546099
45,0.008421986,0.007978723,0.019946809,0.008421986
46,0.006205674,0.006648936,0.020390071,0.006205674
47,0.004875887,0.009751773,0.020833333,0.004875887
48,0.003102837,0.009308511,0.021276596,0.003102837
49,0.004432624,0.006648936,0.021719858,0.004432624
50,0.002659574,0.003546099,0.022163121,0.002659574
51,0.003989362,0.005762411,0.022606383,0.003989362
52,0.003546099,0.003989362,0.023049645,0.003546099
53,0.004432624,0.002659574,0.023492908,0.004432624
54,0.003989362,0.003102837,0.02393617,0.003989362
55,0.002659574,0.001329787,0.024379433,0.002659574
56,0.006648936,0.002216312,0.024822695,0.006648936
57,0.005319149,0.005319149,0.025265957,0.005319149
58,0.003989362,0.003546099,0.02570922,0.003989362
59,0.003989362,0.000886525,0.026152482,0.003989362
60,0.004875887,0.00177305,0.026595745,0.004875887
61,0.003102837,0.001329787,0.027039007,0.003102837
62,0.003989362,0.00177305,0.02748227,0.003989362
63,0.005762411,0.003546099,0.027925532,0.005762411
64,0.003546099,0.002659574,0.028368794,0.003546099
65,0.003989362,0.001329787,0.028812057,0.003989362
66,0.00177305,0.002216312,0.029255319,0.00177305
67,0.001329787,0.001329787,0.029698582,0.001329787
68,0.003102837,0.003546099,0.030141844,0.003102837
69,0.000443262,0.001329787,0.030585106,0.000443262
70,0.003989362,0.000886525,0.031028369,0.003989362
71,0.002659574,0.00177305,0.031471631,0.002659574
72,0.001329787,0.001329787,0.031914894,0.001329787
73,0.001329787,0.00177305,0.032358156,0.001329787
74,0.000443262,0.001329787,0.032801418,0.000443262
75,0.000886525,0.000443262,0.033244681,0.000886525
76,0.003989362,0.001329787,0.033687943,0.003989362
77,0.00177305,0.003102837,0.034131206,0.00177305
78,0.001329787,0.000886525,0.034574468,0.001329787
79,0.003546099,0.001329787,0.03501773,0.003546099
80,0.002216312,0.002216312,0.035460993,0.002216312
81,0.002659574,0.000886525,0.035904255,0.002659574
82,0.002659574,0,0.036347518,0.002659574
83,0.000886525,0.001329787,0.03679078,0.000886525
84,0.000443262,0.00177305,0.037234043,0.000443262
85,0.001329787,0.000886525,0.037677305,0.001329787
86,0.001329787,0,0.038120567,0.001329787
87,0.000443262,0.001329787,0.03856383,0.000443262
88,0.002216312,0.000443262,0.039007092,0.002216312
89,0.002659574,0,0.039450355,0.002659574
90,0.002659574,0.002216312,0.039893617,0.002659574
91,0.001329787,0.001329787,0.040336879,0.001329787
92,0,0.001329787,0.040780142,0
93,0.000443262,0,0.041223404,0.000443262
94,0.000443262,0.000443262,0.041666667,0.000443262
95,0.001329787,0.000886525,0.042109929,0.001329787
96,0.000443262,0.000443262,0.042553191,0.000443262
97,0.000443262,0.001329787,0.042996454,0.000443262
98,0,0.001329787,0.043439716,0
99,0.000886525,0.000443262,0.043882979,0.000886525
100,0.00177305,0.000886525,0.044326241,0.00177305
102,0,0.000443262,0.045212766,0
103,0,0.000443262,0.045656028,0
105,0.000886525,0.001329787,0.046542553,0.000886525
